[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: disabled_hints, near line: 193
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 22
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 36: owns: target: Value '379' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 36
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 74: owns: target: Value '2132' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 74
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name dumnonia_area ]
  Script location: file: common/achievements/archimedes.txt line: 78
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/archimedes.txt line: 78
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name cantiacia_area ]
  Script location: file: common/achievements/archimedes.txt line: 84
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/archimedes.txt line: 84
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 126: owns: target: Value '1595' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 126
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 127: owns: target: Value '1693' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 127
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 128: owns: target: Value '942' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 128
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 129: owns: target: Value '687' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 129
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 130: owns: target: Value '683' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 130
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 131: owns: target: Value '946' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 131
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 132: owns: target: Value '742' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 132
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/archimedes.txt line: 133: owns: target: Value '922' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/archimedes.txt line: 133
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 318: owns: target: Value '6258' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 318
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 319: owns: target: Value '1356' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 319
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 320: owns: target: Value '3732' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 320
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 404: owns: target: Value '3256' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 404
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 598: owns: target: Value '2012' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 598
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 612: owns: target: Value '500' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 612
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 613: owns: target: Value '918' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 613
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 614: owns: target: Value '439' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 614
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 615: owns: target: Value '290' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 615
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 616: owns: target: Value '1981' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 616
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 617: owns: target: Value '266' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 617
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 619: owns: target: Value '516' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 619
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 706: owns: target: Value '1515' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 706
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 707: owns: target: Value '3450' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 707
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 708: owns: target: Value '4792' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 708
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name rutubis_area ]
  Script location: file: common/achievements/main.txt line: 803
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 803
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name tadla_area ]
  Script location: file: common/achievements/main.txt line: 804
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 804
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name mauretania_tingitana_septentrionalis_area ]
  Script location: file: common/achievements/main.txt line: 805
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 805
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name mauretania_tingitana_meridionalis_area ]
  Script location: file: common/achievements/main.txt line: 806
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 806
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name mauretania_caesariensis_occidentalis_area ]
  Script location: file: common/achievements/main.txt line: 807
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 807
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name mauretania_caesariensis_centralis_area ]
  Script location: file: common/achievements/main.txt line: 808
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 808
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name carthage_area ]
  Script location: file: common/achievements/main.txt line: 809
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 809
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name africa_septentrionalis_area ]
  Script location: file: common/achievements/main.txt line: 810
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 810
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name africa_meridionalis_area ]
  Script location: file: common/achievements/main.txt line: 811
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 811
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name numidia_maioris_area ]
  Script location: file: common/achievements/main.txt line: 812
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 812
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name numidia_minoris_area ]
  Script location: file: common/achievements/main.txt line: 813
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 813
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name gaetulia_orientalis_area ]
  Script location: file: common/achievements/main.txt line: 814
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 814
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name tripolitania_occidentalis_area ]
  Script location: file: common/achievements/main.txt line: 815
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 815
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name numidia_occidentalis_area ]
  Script location: file: common/achievements/main.txt line: 816
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 816
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name numidia_centralis_area ]
  Script location: file: common/achievements/main.txt line: 817
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 817
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name mauretania_caesariensis_orientalis_area ]
  Script location: file: common/achievements/main.txt line: 818
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 818
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name gaetulia_occidentalis_area ]
  Script location: file: common/achievements/main.txt line: 819
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 819
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name gaetulia_centralis_area ]
  Script location: file: common/achievements/main.txt line: 820
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 820
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name gaetulia_septentrionalis_area ]
  Script location: file: common/achievements/main.txt line: 821
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 821
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name mauretania_caesariensis_maioris_area ]
  Script location: file: common/achievements/main.txt line: 822
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 822
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name mauretania_caesariensis_minoris_area ]
  Script location: file: common/achievements/main.txt line: 823
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 823
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name tripolitania_centralis_area ]
  Script location: file: common/achievements/main.txt line: 824
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 824
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name tripolitania_orientalis_area ]
  Script location: file: common/achievements/main.txt line: 825
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 825
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name cyrenaica_inferioris_area ]
  Script location: file: common/achievements/main.txt line: 826
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 826
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name cyrenaica_superioris_area ]
  Script location: file: common/achievements/main.txt line: 827
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 827
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name marmarica_occidentalis_area ]
  Script location: file: common/achievements/main.txt line: 828
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 828
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name marmarica_orientalis_area ]
  Script location: file: common/achievements/main.txt line: 829
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 829
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name ammon_area ]
  Script location: file: common/achievements/main.txt line: 830
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/achievements/main.txt line: 830
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 998: owns: target: Value '3061' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 998
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 999: owns: target: Value '3085' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 999
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1000: owns: target: Value '3080' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1000
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1001: owns: target: Value '3083' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1001
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1002: owns: target: Value '3086' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1002
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1003: owns: target: Value '3090' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1003
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1004: owns: target: Value '3091' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1004
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1005: owns: target: Value '3092' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1005
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1006: owns: target: Value '3095' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1006
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1007: owns: target: Value '3101' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1007
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1008: owns: target: Value '3109' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1008
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1009: owns: target: Value '3106' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1009
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1010: owns: target: Value '3108' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1010
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1011: owns: target: Value '3111' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1011
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1012: owns: target: Value '1347' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1012
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1013: owns: target: Value '1348' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1013
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1014: owns: target: Value '1350' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1014
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1015: owns: target: Value '1361' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1015
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1016: owns: target: Value '1362' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1016
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1017: owns: target: Value '1366' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1017
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1018: owns: target: Value '1367' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1018
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1019: owns: target: Value '1283' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1019
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1020: owns: target: Value '1282' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1020
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1021: owns: target: Value '1278' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1021
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1022: owns: target: Value '1276' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1022
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1023: owns: target: Value '670' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1023
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1024: owns: target: Value '666' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1024
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1025: owns: target: Value '668' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1025
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1026: owns: target: Value '667' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1026
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1027: owns: target: Value '665' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1027
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1028: owns: target: Value '664' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1028
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1029: owns: target: Value '663' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1029
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1030: owns: target: Value '662' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1030
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1031: owns: target: Value '661' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1031
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1032: owns: target: Value '660' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1032
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1033: owns: target: Value '659' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1033
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1034: owns: target: Value '658' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1034
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1035: owns: target: Value '657' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1035
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1036: owns: target: Value '656' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1036
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1037: owns: target: Value '535' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1037
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1038: owns: target: Value '509' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1038
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1039: owns: target: Value '510' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1039
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1040: owns: target: Value '508' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1040
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1041: owns: target: Value '522' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/achievements/main.txt line: 1041
[19:56:09][jomini_script_object.cpp:35]:  file: common/achievements/main.txt line: 1042: owns: target: Value '523' is invalid: 'scope type none, expected province' or 'not valid province id'
